"SNP" "GENE"
"rs10904382" "gene1"
"rs11252861" "gene1"
"rs2904802" "gene1"
"rs2904803" "gene1"
"rs3930966" "gene1"
"rs4445550" "gene1"
"rs7908994" "gene1"
"rs11252885" "gene1/gene2"
"rs11816204" "gene1/gene2"
"rs12414884" "gene2"
"rs17134158" "gene2"
"rs1937855" "gene2"
"rs1937863" "gene2"
"rs1937868" "gene2"
"rs1937888" "gene2"
"rs1937889" "gene2"
"rs28488494" "gene2"
"rs2854466" "gene2"
"rs2854482" "gene2"
"rs2854494" "gene2"
"rs4143630" "gene2"
"rs7082231" "gene2"
"rs7083583" "gene2"
"rs7099721" "gene2"
"rs7915365" "gene2"
"rs10904416" "gene3"
"rs12242350" "gene3"
"rs17396032" "gene3"
"rs2275928" "gene3"
"rs2298305" "gene3"
"rs2518049" "gene3"
"rs4242785" "gene3"
"rs4559587" "gene3"
"rs10795255" "gene4"
"rs10904442" "gene4"
"rs11253042" "gene4"
"rs11253045" "gene4"
"rs11253046" "gene4"
"rs11594448" "gene4"
"rs11594520" "gene4"
"rs12247748" "gene4"
"rs12775790" "gene4"
"rs17134588" "gene4"
"rs17134589" "gene4"
"rs2050308" "gene4"
"rs2151896" "gene4"
"rs7083869" "gene4"
"rs11760991" "gene5"
"rs17169507" "gene5"
"rs17169521" "gene5"
"rs2633359" "gene5"
"rs3805362" "gene5"
"rs6980334" "gene5"
"rs7785788" "gene5"
"rs8180809" "gene5"
"rs10916833" "gene6"
"rs11579252" "gene6"
"rs12072318" "gene6"
"rs12404655" "gene6"
"rs1689924" "gene6"
"rs517483" "gene6"
"rs527912" "gene6"
"rs577042" "gene6"
"rs580032" "gene6"
"rs603412" "gene6"
"rs818194" "gene6"
"rs818202" "gene6"
"rs3859101" "gene7"
"rs6499786" "gene7"
"rs11568311" "gene8"
"rs11568314" "gene8"
"rs8045523" "gene8"
"rs10852545" "gene9"
"rs11076120" "gene9"
"rs12325081" "gene9"
"rs12325467" "gene9"
"rs12599795" "gene9"
"rs12918059" "gene9"
"rs12929580" "gene9"
"rs13333135" "gene9"
"rs1420216" "gene9"
"rs17318582" "gene9"
"rs17319026" "gene9"
"rs1870038" "gene9"
"rs1894880" "gene9"
"rs3859109" "gene9"
"rs3909214" "gene9"
"rs4081665" "gene9"
"rs4316749" "gene9"
"rs4783914" "gene9"
"rs6416767" "gene9"
"rs7194945" "gene9"
"rs7403998" "gene9"
"rs7498560" "gene9"
"rs7499570" "gene9"
"rs8047859" "gene9"
"rs8049413" "gene9"
"rs8053467" "gene9"
"rs8056747" "gene9"
"rs8061441" "gene9"
"rs165774" "gene10"
"rs165849" "gene10"
"rs16982844" "gene10"
"rs174696" "gene10"
"rs2518823" "gene10"
"rs4633" "gene10"
"rs4646316" "gene10"
"rs4680" "gene10"
"rs6269" "gene10"
"rs740601" "gene10"
"rs740603" "gene10"
"rs887199" "gene10"
"rs9332377" "gene10"
"rs11632698" "gene11"
"rs11635047" "gene11"
"rs1484215" "gene11"
"rs16968478" "gene11"
"rs2279357" "gene11"
"rs4278698" "gene11"
"rs4886595" "gene11"
"rs9806234" "gene11"
"rs1134095" "gene12"
"rs34570566" "gene12"
"rs4534" "gene12"
"rs4736312" "gene12"
"rs5303" "gene12"
"rs7003319" "gene12"
"rs7818826" "gene12"
